#                                                                                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                       accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                               ------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IMGVR_UViG_2894661207_000003|2894661207|2894661213|175291-216416_2                  -          phage-family-interpro-v4 -           4.2e-232  782.5   0.0  4.7e-232  782.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_003966|3300045988|Ga0495776_002253_7                          -          phage-family-interpro-v4 -           4.4e-232  782.4   0.0  5.4e-232  782.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_023475|3300045988|Ga0495776_100391_55                         -          phage-family-interpro-v4 -           4.4e-232  782.4   0.0  5.4e-232  782.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_004279|3300045988|Ga0495776_070641_5                          -          phage-family-interpro-v4 -           6.2e-232  782.0   0.0  7.4e-232  781.7   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_011418|3300045988|Ga0495776_019671_44                         -          phage-family-interpro-v4 -           8.6e-232  781.5   0.0    1e-231  781.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_003951|3300045988|Ga0495776_109974_3                          -          phage-family-interpro-v4 -           1.4e-231  780.8   0.0  1.6e-231  780.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008346|3300045988|Ga0495776_110154_46                         -          phage-family-interpro-v4 -           1.4e-231  780.8   0.0  1.6e-231  780.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2606217776_000005|2606217776|2606257209|237831-280355_1                  -          phage-family-interpro-v4 -           3.1e-230  776.3   0.0  3.7e-230  776.1   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2858590830_000002|2858590830|2858590844|259-43405_4                      -          phage-family-interpro-v4 -           3.5e-230  776.1   0.0  4.3e-230  775.9   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2585427634_000002|2585427634|2585443484|1309849-1351800_1                -          phage-family-interpro-v4 -             3e-229  773.0   0.0  3.7e-229  772.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2599185210_000001|2599185210|2599189461|285385-326922_49                 -          phage-family-interpro-v4 -           1.2e-227  767.8   0.0  1.5e-227  767.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2615840613_000001|2615840613|2615922058_18                               -          phage-family-interpro-v4 -           4.5e-227  765.9   0.0  5.5e-227  765.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2818991440_000001|2818991440|2819010080|408248-451562_58                 -          phage-family-interpro-v4 -           7.6e-227  765.1   0.0  9.3e-227  764.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2904463128_000001|2904463128|2904463129|171588-214902_1                  -          phage-family-interpro-v4 -           7.6e-227  765.1   0.0  9.3e-227  764.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_040380|3300045988|Ga0495776_029031_51                         -          phage-family-interpro-v4 -             1e-226  764.6   0.0  1.2e-226  764.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_055646|3300045988|Ga0495776_019436_46                         -          phage-family-interpro-v4 -             1e-226  764.6   0.0  1.2e-226  764.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2517572111_000001|2517572111|2517588344|187757-228164_51                 -          phage-family-interpro-v4 -           1.7e-226  764.0   0.0  2.1e-226  763.7   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2522125138_000001|2522125138|2522169670|225298-265705_1                  -          phage-family-interpro-v4 -           1.7e-226  764.0   0.0  2.1e-226  763.7   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300014557_000003|3300014557|Ga0169723_100470_6                          -          phage-family-interpro-v4 -           2.2e-226  763.6   0.0  2.6e-226  763.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_018596|3300045988|Ga0495776_139519_22                         -          phage-family-interpro-v4 -           2.2e-226  763.6   0.0  2.6e-226  763.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_078626|3300045988|Ga0495776_020417_46                         -          phage-family-interpro-v4 -           2.2e-226  763.6   0.0  2.6e-226  763.3   0.0   1.0   1   0   0   1   1   1   1 -
