# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/IMG_VR.fasta
# output directed to file:         output/IMG_VR_hmmout.txt
# per-seq hits tabular output:     output/IMG_VR_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                                                                            Description
    ------- ------ -----    ------- ------ -----   ---- --  --------                                                                            -----------
   1.7e-232  783.8   0.0   2.1e-232  783.5   0.0    1.0  1  IMGVR_UViG_3300045988_010254|3300045988|Ga0495776_173120_21                          
   1.7e-232  783.8   0.0   2.1e-232  783.5   0.0    1.0  1  IMGVR_UViG_3300045988_015706|3300045988|Ga0495776_002125_31                          
   2.3e-232  783.4   0.0   2.8e-232  783.1   0.0    1.0  1  IMGVR_UViG_3300045988_021343|3300045988|Ga0495776_070998_18                          
   2.5e-232  783.3   0.0   2.7e-232  783.1   0.0    1.0  1  IMGVR_UViG_3300011240_000048|3300011240|Ga0122762_100099|21591-64209_1               
   2.8e-232  783.1   0.0   3.2e-232  782.9   0.0    1.0  1  IMGVR_UViG_3300035493_000027|3300035493|Ga0376446_000248_30                          
   2.9e-232  783.1   0.0   3.5e-232  782.8   0.0    1.0  1  IMGVR_UViG_3300045988_019893|3300045988|Ga0495776_025002_40                          
   3.3e-232  782.9   0.0     4e-232  782.6   0.0    1.0  1  IMGVR_UViG_3300045988_008394|3300045988|Ga0495776_027873_41                          
   4.2e-232  782.5   0.0   4.7e-232  782.3   0.0    1.0  1  IMGVR_UViG_2894661207_000003|2894661207|2894661213|175291-216416_2                   
   4.4e-232  782.4   0.0   5.4e-232  782.2   0.0    1.0  1  IMGVR_UViG_3300045988_003966|3300045988|Ga0495776_002253_7                           
   4.4e-232  782.4   0.0   5.4e-232  782.2   0.0    1.0  1  IMGVR_UViG_3300045988_023475|3300045988|Ga0495776_100391_55                          
   6.2e-232  782.0   0.0   7.4e-232  781.7   0.0    1.0  1  IMGVR_UViG_3300045988_004279|3300045988|Ga0495776_070641_5                           
   8.6e-232  781.5   0.0     1e-231  781.2   0.0    1.0  1  IMGVR_UViG_3300045988_011418|3300045988|Ga0495776_019671_44                          
   1.4e-231  780.8   0.0   1.6e-231  780.5   0.0    1.0  1  IMGVR_UViG_3300045988_003951|3300045988|Ga0495776_109974_3                           
   1.4e-231  780.8   0.0   1.6e-231  780.5   0.0    1.0  1  IMGVR_UViG_3300045988_008346|3300045988|Ga0495776_110154_46                          
   3.1e-230  776.3   0.0   3.7e-230  776.1   0.0    1.0  1  IMGVR_UViG_2606217776_000005|2606217776|2606257209|237831-280355_1                   
   3.5e-230  776.1   0.0   4.3e-230  775.9   0.0    1.0  1  IMGVR_UViG_2858590830_000002|2858590830|2858590844|259-43405_4                       
     3e-229  773.0   0.0   3.7e-229  772.8   0.0    1.0  1  IMGVR_UViG_2585427634_000002|2585427634|2585443484|1309849-1351800_1                 
   1.2e-227  767.8   0.0   1.5e-227  767.5   0.0    1.0  1  IMGVR_UViG_2599185210_000001|2599185210|2599189461|285385-326922_49                  
   4.5e-227  765.9   0.0   5.5e-227  765.6   0.0    1.0  1  IMGVR_UViG_2615840613_000001|2615840613|2615922058_18                                
   7.6e-227  765.1   0.0   9.3e-227  764.8   0.0    1.0  1  IMGVR_UViG_2818991440_000001|2818991440|2819010080|408248-451562_58                  
   7.6e-227  765.1   0.0   9.3e-227  764.8   0.0    1.0  1  IMGVR_UViG_2904463128_000001|2904463128|2904463129|171588-214902_1                   
     1e-226  764.6   0.0   1.2e-226  764.4   0.0    1.0  1  IMGVR_UViG_3300045988_040380|3300045988|Ga0495776_029031_51                          
     1e-226  764.6   0.0   1.2e-226  764.4   0.0    1.0  1  IMGVR_UViG_3300045988_055646|3300045988|Ga0495776_019436_46                          
   1.7e-226  764.0   0.0   2.1e-226  763.7   0.0    1.0  1  IMGVR_UViG_2517572111_000001|2517572111|2517588344|187757-228164_51                  
   1.7e-226  764.0   0.0   2.1e-226  763.7   0.0    1.0  1  IMGVR_UViG_2522125138_000001|2522125138|2522169670|225298-265705_1                   
   2.2e-226  763.6   0.0   2.6e-226  763.3   0.0    1.0  1  IMGVR_UViG_3300014557_000003|3300014557|Ga0169723_100470_6                           
   2.2e-226  763.6   0.0   2.6e-226  763.3   0.0    1.0  1  IMGVR_UViG_3300045988_018596|3300045988|Ga0495776_139519_22                          
   2.2e-226  763.6   0.0   2.6e-226  763.3   0.0    1.0  1  IMGVR_UViG_3300045988_078626|3300045988|Ga0495776_020417_46                          
   6.5e-226  762.0   0.0   7.6e-226  761.8   0.0    1.0  1  IMGVR_UViG_3300045988_018431|3300045988|Ga0495776_136004_34                          
   6.5e-226  762.0   0.0   7.6e-226  761.8   0.0    1.0  1  IMGVR_UViG_3300045988_018480|3300045988|Ga0495776_135921_34                          
   6.6e-226  762.0   0.0   7.7e-226  761.8   0.0    1.0  1  IMGVR_UViG_3300045988_033150|3300045988|Ga0495776_014013_34                          
   6.8e-226  762.0   0.0   8.1e-226  761.7   0.0    1.0  1  IMGVR_UViG_3300045988_015623|3300045988|Ga0495776_094441_5                           
   6.8e-226  762.0   0.0   8.1e-226  761.7   0.0    1.0  1  IMGVR_UViG_3300045988_042096|3300045988|Ga0495776_112262_52                          
     9e-226  761.6   0.0   1.1e-225  761.3   0.0    1.0  1  IMGVR_UViG_2849253003_000001|2849253003|2849253003|797503-841941_3                   
   9.1e-226  761.5   0.0   1.1e-225  761.3   0.0    1.0  1  IMGVR_UViG_3300045988_055657|3300045988|Ga0495776_139512_49                          
   9.5e-226  761.5   0.0   1.1e-225  761.2   0.0    1.0  1  IMGVR_UViG_2627853506_000003|2627853506|2627853753|527388-565977_1                   
   9.7e-226  761.4   0.0   1.1e-225  761.2   0.0    1.0  1  IMGVR_UViG_3300045988_117147|3300045988|Ga0495776_139604_35                          
   9.8e-226  761.4   0.0   1.1e-225  761.2   0.0    1.0  1  IMGVR_UViG_3300030447_000010|3300030447|Ga0168849_100860_1                           
   9.8e-226  761.4   0.0   1.1e-225  761.2   0.0    1.0  1  IMGVR_UViG_3300045988_028388|3300045988|Ga0495776_020427_34                          
   1.4e-225  760.9   0.0   1.7e-225  760.6   0.0    1.0  1  IMGVR_UViG_2648501512_000003|2648501512|2648536817|90763-132166_48                   
   1.4e-225  760.9   0.0   1.7e-225  760.6   0.0    1.0  1  IMGVR_UViG_2728369042_000003|2728369042|2728390800|90763-132166_48                   
   1.4e-225  760.9   0.0   1.7e-225  760.6   0.0    1.0  1  IMGVR_UViG_2519899668_000002|2519899668|2519941456|175857-226672_5                   
   1.5e-225  760.8   0.0   1.8e-225  760.6   0.0    1.0  1  IMGVR_UViG_3300045988_105780|3300045988|Ga0495776_094566_45                          
   1.8e-225  760.5   0.0   2.2e-225  760.3   0.0    1.0  1  IMGVR_UViG_3300045988_017141|3300045988|Ga0495776_002092_25                          
   1.8e-225  760.5   0.0   2.2e-225  760.3   0.0    1.0  1  IMGVR_UViG_3300045988_018584|3300045988|Ga0495776_027535_55                          
   1.9e-225  760.5   0.0   2.3e-225  760.2   0.0    1.0  1  IMGVR_UViG_3300045988_011026|3300045988|Ga0495776_020805_6                           
   2.2e-225  760.3   0.0   2.5e-225  760.1   0.0    1.0  1  IMGVR_UViG_3300045988_019880|3300045988|Ga0495776_139402_3                           
   2.2e-225  760.3   0.0   2.5e-225  760.1   0.0    1.0  1  IMGVR_UViG_3300045988_018508|3300045988|Ga0495776_092863_26                          
   2.2e-225  760.3   0.0   2.6e-225  760.0   0.0    1.0  1  IMGVR_UViG_3300030431_000013|3300030431|Ga0134575_100067_47                          
   2.2e-225  760.3   0.0   2.6e-225  760.0   0.0    1.0  1  IMGVR_UViG_3300045988_028403|3300045988|Ga0495776_112425_50                          
   2.4e-225  760.1   0.0   2.8e-225  759.9   0.0    1.0  1  IMGVR_UViG_3300045988_008421|3300045988|Ga0495776_020724_4                           
   2.7e-225  760.0   0.0   3.1e-225  759.8   0.0    1.0  1  IMGVR_UViG_3300039361_000018|3300039361|Ga0169254_00185_46                           
   2.7e-225  760.0   0.0   3.1e-225  759.8   0.0    1.0  1  IMGVR_UViG_3300045988_018440|3300045988|Ga0495776_018605_45                          
   2.7e-225  760.0   0.0   3.1e-225  759.8   0.0    1.0  1  IMGVR_UViG_3300045988_020655|3300045988|Ga0495776_018656_31                          
   3.2e-225  759.7   0.0   3.9e-225  759.5   0.0    1.0  1  IMGVR_UViG_2616644965_000002|2616644965|2616653655|32181-72004_2                     
   3.2e-225  759.7   0.0   3.9e-225  759.5   0.0    1.0  1  IMGVR_UViG_2651869809_000003|2651869809|2651905002|32098-71921_2                     
   3.2e-225  759.7   0.0   3.9e-225  759.5   0.0    1.0  1  IMGVR_UViG_2667527229_000002|2667527229|2667530441|966412-1006235_2                  
   3.2e-225  759.7   0.0   3.9e-225  759.5   0.0    1.0  1  IMGVR_UViG_2675902956_000004|2675902956|2675908514|5516963-5556786_2                 
   3.2e-225  759.7   0.0   3.9e-225  759.5   0.0    1.0  1  IMGVR_UViG_637000222_000002|637000222|637000090|2585996-2625819_2                    
